================================================================================
  ASDSL Framework — Phi-4 Multimodal Instruct Integration Results
  Model:  microsoft/Phi-4-multimodal-instruct
  Date:   2026-03-07 06:23:34
  Runtime: 48.2 minutes
================================================================================

Unit Tests: 66 passed, 0 failed

── 4-bit quantization ──────────────────────────────────────────
Layer                                                    Ratio  SNR(dB)   Cosine  LUT-L2 LUT-mv(ms)
---------------------------------------------------------------------------------------------------
L0.down_proj                                               7.8x     19.0  0.84328     No       20.87
L0.gate_up_proj                                            7.8x     19.1  0.75356     No        7.56
L0.o_proj                                                  7.8x     19.1  0.74636     No        7.16
L0.qkv_proj                                                7.8x     16.8 -0.11162     No        9.41
L1.down_proj                                               7.8x     19.0  0.29435     No       26.82
L1.gate_up_proj                                            7.8x     19.1  0.73417     No       20.13
L1.o_proj                                                  7.8x     19.1  0.57966     No       10.48
L1.qkv_proj                                                7.8x     18.8  0.09139     No       12.96
L10.down_proj                                              7.8x     19.0  0.87823     No       21.97
L10.gate_up_proj                                           7.8x     19.1 -0.12684     No       17.54
L10.o_proj                                                 7.8x     19.2 -0.24924     No        9.47
L10.qkv_proj                                               7.8x     19.1 -0.31543     No        8.27
L11.down_proj                                              7.8x     19.0  0.98304     No       29.65
L11.gate_up_proj                                           7.8x     19.1  0.69227     No        8.74
L11.o_proj                                                 7.8x     19.2  0.00862     No        9.76
L11.qkv_proj                                               7.8x     19.1  0.17059     No        7.29
L12.down_proj                                              7.8x     19.0  0.57407     No       25.61
L12.gate_up_proj                                           7.8x     19.1  0.90636     No        7.55
L12.o_proj                                                 7.8x     19.2  0.02269     No       14.59
L12.qkv_proj                                               7.8x     19.1  0.83478     No        7.73
L13.down_proj                                              7.8x     19.0  0.70091     No       46.93
L13.gate_up_proj                                           7.8x     19.1  0.88642     No        7.36
L13.o_proj                                                 7.8x     19.2  0.89863     No       16.35
L13.qkv_proj                                               7.8x     19.1  0.15494     No       18.63
L14.down_proj                                              7.8x     19.1  0.47680     No       23.70
L14.gate_up_proj                                           7.8x     19.1  0.75542     No       15.04
L14.o_proj                                                 7.8x     19.2 -0.34646     No        8.13
L14.qkv_proj                                               7.8x     19.1  0.33570     No        7.15
L15.down_proj                                              7.8x     19.1  0.33465     No       42.43
L15.gate_up_proj                                           7.8x     19.1  0.71558     No       25.79
L15.o_proj                                                 7.8x     19.2 -0.04517     No        9.63
L15.qkv_proj                                               7.8x     19.1 -0.47650     No       13.31
L16.down_proj                                              7.8x     19.0  0.80828     No       18.84
L16.gate_up_proj                                           7.8x     19.1  0.29004     No        8.00
L16.o_proj                                                 7.8x     19.2  0.79054     No        7.80
L16.qkv_proj                                               7.8x     19.1 -0.68096     No        6.79
L17.down_proj                                              7.8x     19.0  0.49127     No       21.04
L17.gate_up_proj                                           7.8x     19.1  0.43544     No        8.74
